Job_Title,Job_Company,Job_Location,Job_Salary
Deals Data & Analytics Intern - Summer 2021,PRICE WATERHOUSE COOPERS,"Chicago, IL",
Data Science Intern,Shure Incorporated,"Niles, IL",
"Director, Data Science",Epsilon,"Chicago, IL",
Deals Data & Analytics Intern - Summer 2021,PRICE WATERHOUSE COOPERS,"Chicago, IL",
Marketing Data Analyst (Remote),Daxko,"Chicago, IL",
Data Scientist,"Darwill, Inc.","Oakbrook Terrace, IL",
INTERN - Data Science (VIRTUAL),US Foods,"Rosemont, IL",
"Statistical Analyst, Panel Science","comScore, Inc.","Chicago, IL",
Deep Learning Intern,Grainger,"Chicago, IL",
"Data Scientist, CLM",DocuSign,"Chicago, IL",
Data Science Consultant,ZS Associates,"Chicago, IL",
Data Scientist Summer Intern,#TeamGoHealth,"Chicago, IL",
DATA SCIENTIST,GRANT THORNTON,"Chicago, IL",
Early Careers | Financial Modeling & Research | Chicago,Goldman Sachs,"Chicago, IL",
"Data Scientist, Consumer Activation & Personalization",Mars,"Chicago, IL",
"Manager, Data Science and Analytics",Razorfish,"Chicago, IL",
"Data Scientist, Consumer Activation & Personalization",Mars,"Chicago, IL",
"Manager, Data Science and Analytics",Razorfish,"Chicago, IL",
Research Analyst,Designalytics,"Chicago, IL","$50,000 - $55,000 a year"
Strategy and Transactions- Decision Modeling & Economics- Data Science- Senior,Ernst & Young,"Chicago, IL",
"Analyst, Finance & Analytics","Grubhub Holdings, Inc.","Chicago, IL",
statistical programmer,Katalyst HealthCares & Life Sciences,"Deerfield, IL",$60 - $70 an hour
Strategy and Transactions- Decision Modeling & Economics- Data Science- Manager,EY,"Chicago, IL",
Data Scientist - Life Sciences,Argonne National Laboratory,"Lemont, IL",
Data Scientist 2,PayPal,"Chicago, IL",
Data Scientist,Strong Analytics,"Chicago, IL",
"Director, Data Science",#TeamGoHealth,"Chicago, IL",
Sr. Data Scientist,Kar Global,"Chicago, IL",
Data Scientist,project44,"Chicago, IL",
"Associate, Big Data Engineer",CCC Information Services Inc.,"Chicago, IL",
Analyst,Weber Shandwick,"Chicago, IL",
"Associate, Big Data Engineer",CCC Information Services Inc.,"Chicago, IL",
Analyst,Weber Shandwick,"Chicago, IL",
Data Scientist,Infosys Limited,"Chicago, IL",
Data Science Manager,Accenture,"Chicago, IL",
Data Scientist,Nielsen,"Chicago, IL",
Programmer Analyst,Mathematica Policy Research,"Chicago, IL","$60,000 - $121,000 a year"
Senior Data Architect,Kellogg Company,"Oak Brook, IL",
Health Data Exchange Analyst,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL",
Data Scientist,Avant,"Chicago, IL",
Research Assistant,Illinois Institute of Technology,"Chicago, IL",
Data Engineer,"Darwill, Inc.","Oakbrook Terrace, IL",
"Scientist, Decision Sciences (Data Visualization Team)",Epsilon,"Chicago, IL",
Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.","Chicago, IL",
Senior Director Data Science Product Management,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL",
Senior Associate Data Strategy,Publicis Sapient,"Chicago, IL",
"Data Science, Sr. Analyst",The University of Chicago,"Chicago, IL",
Data Engineer,McDonald's Corporation,"Chicago, IL",
Data Management Solution Architect,Deloitte,"Chicago, IL",
Data Science Specialist/Practice Lead,HNTB Corporation,"Chicago, IL",
Assistant Biological Data Modeler,Argonne National Laboratory,"Lemont, IL",
Data Engineer – Specialty Analytics,"Data Science Works, Inc","Northbrook, IL","$90,000 - $120,000 a year"
DATA SCIENTIST,Big Bright International,"Chicago, IL",
Sales Reporting Analyst,The Onion,"Chicago, IL",
Data Analyst,PartsTrader,"Chicago, IL",
Data Insights – Advisor,"Data Science Works, Inc","Northbrook, IL","$90,000 - $120,000 a year"
Machine Learning Engineer,Lenovo,"Chicago, IL",
Senior Data Scientist,Redwood Logistics,"Chicago, IL",
"Digital Marketing Intern, Analytics (SheBelieves)",UNITED STATES SOCCER FEDERATION 1,"Chicago, IL",
Data Engineer,Inspire11,"Chicago, IL",
"Director, Data Science","Grubhub Holdings, Inc.","Chicago, IL",
Machine Learning Engineer,Lenovo,"Chicago, IL",
Senior Data Scientist,Redwood Logistics,"Chicago, IL",
"Digital Marketing Intern, Analytics (SheBelieves)",UNITED STATES SOCCER FEDERATION 1,"Chicago, IL",
Data Engineer,Inspire11,"Chicago, IL",
Data Science Manager,PwC,"Chicago, IL",
"Director, Data Science","Grubhub Holdings, Inc.","Chicago, IL",
Analytics Intern,"Navistar, Inc.","Lisle, IL",
Jr. Business Analyst,"GC Realty & Development, LLC","Roselle, IL",
Part-Time Data Science Instructor,Attadale Partners,"Schaumburg, IL",
"Software Engineer, Applied Machine Learning","Prenosis, Inc.","Chicago, IL","$90,000 - $120,000 a year"
Staff Data Science Engineer,Echo Global Logistics,"Chicago, IL",
Physiological Data Analyst,Ann & Robert H. Lurie Children's Hospital of Chica...,"Chicago, IL",
Senior Manager Data Science - IHM,Discover Financial Services,"Riverwoods, IL",
Software Engineer - Data Visualization,McDonald's Corporation,"Chicago, IL",
Physiological Data Scientist,Ann & Robert H. Lurie Children’s Hospital of Chica...,"Chicago, IL",
Data Scientist,Alliant Credit Union,"Rolling Meadows, IL",
Watson Health Analytic Industry Consultant (Early Professional),IBM,"Chicago, IL",
Physiological Data Scientist,Ann & Robert H. Lurie Children's Hospital of Chica...,"Chicago, IL",
Statistical Programmer,Cooperative Studies Program Coordinating Center,"Hines, IL","$70,987 - $92,281 a year"
Global Fraud Data Science and Analytics Leader,TransUnion,"Chicago, IL",
Data Engineer,Kalderos,"Chicago, IL",
Data Science Manager,PwC,"Chicago, IL",
Data Engineer,IMC Financial Markets,"Chicago, IL",
Associate Director Data Science and Analytics,Publicis Sapient,"Chicago, IL",
Data Analytics Manager,Wintrust Financial Corporation,"Rosemont, IL",
Data Science Director,Kemper,"Chicago, IL",
Data Analyst Senior,Northwestern University,"Chicago, IL",
DATA SCIENCE AND ANALYTICS MANAGER,GRANT THORNTON,"Chicago, IL",
Data Engineer,CNA Insurance,"Chicago, IL",
"Associate, Big Data Engineer",KPMG,"Chicago, IL",
"Data and Analytics Lead, Payments Compliance",Google,"Chicago, IL",
Senior Data Analyst,ActiveCampaign,"Chicago, IL",
Senior Data Scientist (Machine Learning),SpotHero,"Chicago, IL",
PhD Data Science Intern - Summer 2021,Vail Systems,"Chicago, IL",
Computational Mathematician/Statistician,Argonne National Laboratory,"Lemont, IL",
Insurance Policy and Forms Analyst,Kin Insurance,"Chicago, IL",
Assistant Manager of Data Science,Harnham,"Chicago, IL","$150,000 a year"
Manager Data Strategy,Publicis Sapient,"Chicago, IL",
Data Scientist-Machine Learning Engineer,Allstate,"Chicago, IL",
Senior Data Scientist,BRAZE,"Chicago, IL",
Data Scientist,Colsh Consultants,"Chicago, IL",
Data Engineer – Specialty Analytics Advisor,"Data Science Works, Inc","Northbrook, IL","$90,000 - $120,000 a year"
Arity-Senior Data Scientist - Advertisers & Data Buyers (Remote-Home Based Worker),Allstate,"Chicago, IL",
Data Sciences - Senior Associate,TheMathCompany,"Chicago, IL",
Physiological Data Analyst,Ann & Robert H. Lurie Children’s Hospital of Chica...,"Chicago, IL",
Data Scientist,Kin + Carta,"Chicago, IL",
Data Science/Data Analytics - Project Manager,CreditNinja,"Chicago, IL",
Computer Vision Data Scientist,McDonald's Corporation,"Chicago, IL",
"2021 Summer Intern, Data Engineering – Advanced Analytics",Chamberlain Group Inc,"Oak Brook, IL",
Associate Data Center Project Coordinator,EZ Blockchain LLC,"Chicago, IL",$18 - $20 an hour
Sr.Data Scientist,Sky Consulting Inc,"Chicago, IL",
Ignite Data Ops Manager,Salesforce,"Chicago, IL",
Senior Data Scientist,"SPINS, LLC","Chicago, IL",
Assistant Manager of Data Science,Harnham,"Chicago, IL","$150,000 a year"
Data Developer,Neuberger Berman,"Chicago, IL",
Senior Data Analyst,#TeamGoHealth,"Chicago, IL",
Machine Learning Engineer,Sky RPO,"Chicago, IL","$110,000 - $150,000 a year"
Statistical Analyst,Northwestern University,"Chicago, IL",
"Artificial Intelligence, Consultant - Applied Artificial Intelligence",Deloitte,"Chicago, IL",
Senior Data Scientist,Vibes,"Chicago, IL",
Physiological Data Scientist,Ann & Robert H. Lurie Children’s Hospital of Chica...,"Chicago, IL",
Business Analyst Intern,"Superior Air-Ground Ambulance Service, Inc.","Elmhurst, IL",
Data Scientist,Alliant Credit Union,"Rolling Meadows, IL",
Watson Health Analytic Industry Consultant (Early Professional),IBM,"Chicago, IL",
Physiological Data Scientist,Ann & Robert H. Lurie Children's Hospital of Chica...,"Chicago, IL",
Statistical Programmer,Cooperative Studies Program Coordinating Center,"Hines, IL","$70,987 - $92,281 a year"
Global Fraud Data Science and Analytics Leader,TransUnion,"Chicago, IL",
Data Engineer,Kalderos,"Chicago, IL",
Data Engineer,IMC Financial Markets,"Chicago, IL",
Associate Director Data Science and Analytics,Publicis Sapient,"Chicago, IL",
Principal Data Science - IHM,Discover,"Riverwoods, IL",
Manager Data Science - IHM,Discover,"Riverwoods, IL",
"Data Scientist, Climate Change Solutions",Environmental Law & Policy Center,"Chicago, IL","$75,000 - $80,000 a year"
Data Scientist I,ReaderLink,"Oak Brook, IL",
Senior Healthcare Data Analyst,Medical Home Network,"Chicago, IL",
Senior Data Science Associate,TheMathCompany,"Chicago, IL",
Data Scientist (Decision Science Identity Team),Epsilon,"Chicago, IL",
Data Science Manager,PwC,"Chicago, IL",
Data Scientist - Advisor,CVS Health,"Northbrook, IL",
"Senior Data Scientist, Intelligence",Braze,"Chicago, IL",
Senior Applied Data Scientist,dunnhumby,"Chicago, IL",
Data Scientist,Thermo Fisher Scientific,"Chicago, IL",
Sr. Data Analyst,Revantage Corporate Services,"Chicago, IL",
"Vice President, Data Management",Discover Financial Services,"Riverwoods, IL",
Data Analytics Manager - Uber Freight,Uber,"Chicago, IL",
Senior Data Scientist II,"SMS Assist, LLC","Chicago, IL",
Sr. Project Manager of Data Strategy,Heartland Alliance,"Chicago, IL",
Clinical Data Scientist - Quality Analytics,Rush University Medical Center,"Chicago, IL",
Quantitative researcher,Options Group,"Chicago, IL",
Machine Learning Engineer,McDonald's Corporation,"Chicago, IL",
"Principal, Behavioral Scientist",WALGREENS,"Chicago, IL",
Cloud Data Architect - REMOTE,"Insight Enterprises, Inc.","Chicago, IL","$160,000 - $190,000 a year"
Pipeline GIS Support Specialist - Chicago,prosource.it,"Chicago, IL",
Data Scientist,Arrive Logistics,"Chicago, IL",
Data Scientist,Capax Global LLC,"Chicago, IL",
Statistician Sr,Ann & Robert H. Lurie Children's Hospital of Chica...,"Chicago, IL",
Senior Data Scientist – Customer Success Insights,DocuSign,"Chicago, IL",
Machine Learning Engineer,Crowe,"Chicago, IL",
Data Science Manager,PwC,"Chicago, IL",
"Department Chair Health Informatics and Data Science; Tenured/Tenure-Track, Associate/Full Professor",Loyola University Chicago,"Maywood, IL",
Lead Data Scientist,"Darwill, Inc.","Oakbrook Terrace, IL",
Algorithmic Trader,DRW,"Chicago, IL",
Principal Engineer - IAM Data Scientist,Wells Fargo,"Chicago, IL",
Global Smart Factory Lead,"Amazon Web Services, Inc.","Chicago, IL",
Algorithmic Trader,DRW Trading Group,"Chicago, IL",
"Scientific Programs Manager, Data Science",Susan G. Komen,"Chicago, IL",
Forensic Data Analytics Experienced Associate - Nationwide,BDO,"Chicago, IL",
IT Intern - Business Intelligence,ACE Hardware,"Oak Brook, IL",
Arity-Data Scientist-Sr Manager (Remote-Home Based Worker),Allstate,"Chicago, IL",
Data Science Manager,PwC,"Chicago, IL",
Senior Business Analyst,Weber Shandwick,"Chicago, IL",
"Associate, Data Scientist, Optimization",KPMG,"Chicago, IL",
GCP Data Engineer,Capgemini,"Arlington Heights, IL",
Healthcare Analytics Sales Engineer,Mathematica Policy Research,"Chicago, IL","$90,000 - $140,000 a year"
Sr. Client Services Analyst,Numerator,"Chicago, IL",
Postdoctoral Appointee - Data Science and Learning for End-to-End Biological Programming,Argonne National Laboratory,"Lemont, IL",
IT Data Engineering Intern,Shure Incorporated,"Skokie, IL",
Mathematician II (Game Dev),Everi Games Inc,"Chicago, IL",
Customer Data Governance & Strategy Manager,RSM US LLP,"Chicago, IL",
Senior Compensation Data Analyst,The Walsh Group,"Chicago, IL",
Temporary Senior Data Visualization Engineer,Kemper,"Chicago, IL",
Senior Data Analyst,Central States Funds,"Chicago, IL",
Temporary Senior Data Visualization Engineer,Kemper,"Chicago, IL",
Senior Data Analyst,Central States Funds,"Chicago, IL",
Senior Data Engineer (Remote),Glassdoor,"Chicago, IL",
"Senior Consultant, Data Analyst",Northern Trust Corp.,"Chicago, IL",
Business Intelligence Analyst,CME Group,"Chicago, IL",
Lead Research Data Analyst,HIMSS,"Chicago, IL",
Statistician 3 - Rush Alzheimer's Disease Center,Rush University Medical Center,"Chicago, IL",
Lead Data Engineer,"Darwill, Inc.","Oakbrook Terrace, IL",
Ecommerce Unicorn Start up looking for AWS Lead Data Engineer / BI Engineer,RTRP,"Chicago, IL","$125,000 - $180,000 a year"
Head of Advanced Analytics and Insights,PayPal,"Chicago, IL",
BI Data Engineer,HNI Corporation,"Chicago, IL",
Lead Data Science Analyst - IHM,Discover Financial Services,"Riverwoods, IL",
Lead Data Science Analyst - IHM,Discover,"Riverwoods, IL",
Postdoctoral Appointee – Computational and Data Scientist,Argonne National Laboratory,"Lemont, IL",
Manager Data Science - IHM,Discover Financial Services,"Riverwoods, IL",
Ecommerce Unicorn Start up looking for AWS Lead Data Engineer / BI Engineer,RTRP,"Chicago, IL","$125,000 - $180,000 a year"
Manager Data Science - IHM,Discover Financial Services,"Riverwoods, IL",
Data Science Manager,PwC,"Chicago, IL",
"Director, Marketing Measurement and Advanced Analytics",1-800-Flowers,"Melrose Park, IL",
Assistant Computational Scientist,Argonne National Laboratory,"Lemont, IL",
Power BI Specialist - ITS,Avanade,"Chicago, IL",
Quantitative Researcher,DRW,"Chicago, IL",
Statistician Sr,Ann & Robert H. Lurie Children’s Hospital of Chica...,"Chicago, IL",
Senior Data Scientist - Insurance,TransUnion,"Chicago, IL",
"Data Scientist, Insights & Analytics",US Foods,"Rosemont, IL",
"Senior Data Analyst, Speech Analytics",#TeamGoHealth,"Chicago, IL",
Assistant Operations Research Analyst,Argonne National Laboratory,"Lemont, IL",
Lead Data Science Analyst - IHM,Discover,"Riverwoods, IL",
"Sr Data Engineer (Open to Mars Hub Sites in Chicago, IL and NJ)",Mars,"Chicago, IL",
Data Governance Manager,RSM US LLP,"Chicago, IL",
Business Intelligence Specialist - Virtual,JLL,"Chicago, IL",
Director of Research Analytics,Northwestern University,"Evanston, IL",
Deep Learning Scientist,SimBioSys,"Chicago, IL",
Senior Analyst,Discover Financial Services,"Riverwoods, IL",
Data Engineer,Stenograph LLC,"Downers Grove, IL",
Senior Data Analyst (Backend),"Grubhub Holdings, Inc.","Chicago, IL",
Principal Data Scientist (Clinical Data Management),Premier Research Group Limited,"Chicago, IL",
Data Science Manager,PwC,"Chicago, IL",
Data Engineer (SQL Developer),Tempus,"Chicago, IL",
Senior Data Analyst,HealthJoy,"Chicago, IL",
Lead Data Science Analyst - IHM,Discover,"Riverwoods, IL",
Lead Data Analytic Engineer,Allstate,"Chicago, IL","$117,000 a year"
"Supervisory Survey Statistician (Regional Survey Manager), GG-1530-9/11/12, Census-DOC-KML",US Department of Commerce,"Oak Brook, IL","$59,258 - $111,720 a year"
Senior Researcher (Economist/Data Scientist),Chapin Hall at the University of Chicago,"Chicago, IL",
Machine Learning Data Engineer Lead,ServiceNow,"Chicago, IL",
Senior Big Data Architect,"Vertical Trail, LLC","Chicago, IL","$106,934 - $186,376 a year"
Principal Real World Research & Data Scientist,"CTI Clinical Trial Services, Inc","Chicago, IL",
Senior Data Scientist,NORC at the University of Chicago,"Chicago, IL",
Director of Analytics & Data Science - IS Knowledge Management,Rush University Medical Center,"Chicago, IL",
Financial Systems Analyst,Lime,"Chicago, IL",
Senior Data Scientist,CJ Affiliate,"Chicago, IL",
Lead Data Analyst,Capgemini,"Chicago, IL",
Senior Data Scientist,Strong Analytics,"Chicago, IL",
Machine Learning Engineer,Strong Analytics,"Chicago, IL",
Deals Transaction Services - Deal Analytics - Senior Associate,PRICE WATERHOUSE COOPERS,"Chicago, IL",
Data Scientist,Insight Global,"Chicago, IL",$36 - $77 an hour
AI Machine Learning Architect,Lenovo,"Chicago, IL",
Visualization Solutions Consultant,Deloitte,"Chicago, IL",
Vice President Marketing Data & Analytics,Barcodes LLC,"Chicago, IL",
Senior Data Analyst,WorkFusion,"Chicago, IL",
Lead Data Analyst,Capgemini,"Chicago, IL",
"Visualization Scientist, Decision Sciences (Data Visualization Team)",Epsilon,"Chicago, IL",
Senior Data Scientist,Strong Analytics,"Chicago, IL",
Machine Learning Engineer,Strong Analytics,"Chicago, IL",
Data Science Manager,PwC,"Chicago, IL",
Deals Transaction Services - Deal Analytics - Senior Associate,PRICE WATERHOUSE COOPERS,"Chicago, IL",
AI Machine Learning Architect,Lenovo,"Chicago, IL",
Visualization Solutions Consultant,Deloitte,"Chicago, IL",
Vice President Marketing Data & Analytics,Barcodes LLC,"Chicago, IL",
Lead Data Science Analyst - IHM,Discover,"Riverwoods, IL",
Senior Data Analyst,WorkFusion,"Chicago, IL",
Post-Doctoral Appointee – Real-World Vehicle Data Analytics,Argonne National Laboratory,"Lemont, IL",
Data Scientist - RBD,Reyes Beer Division,"Rosemont, IL",
Senior Data Engineer- Analytics,M1 Finance,"Chicago, IL",
Tenure-Track Assistant Professor in Computer Science,Northeastern Illinois University,"Chicago, IL",
Simulating Particle Physics Detectors with Machine Learning on Exascale Supercomputers,Argonne National Laboratory,"Lemont, IL",
Data Science Manager,PwC,"Chicago, IL",
Business Intelligence Tableau Analyst,Guaranteed Rate,"Chicago, IL",
Data Scientist,CVS Health,"Northbrook, IL",
"Director, Data Science Engineering",Intelligent Medical Objects,"Rosemont, IL",
Data Engineer,Sky Consulting Inc,"Chicago, IL",
Data Science Architect,West Monroe,"Chicago, IL",
"Cloud Systems Engineer - Information Systems, Full-time",Shirley Ryan Ability Lab,"Chicago, IL",
Revenue Management Analyst,Sonder,"Chicago, IL",
Lead Data Science Analyst - IHM,Discover,"Riverwoods, IL",
"Solutions Architect, Network, Data Center",Presidio,"Chicago, IL",
Senior Web Analyst (remote contract),projekt202,"Chicago, IL",
Senior Marketing Data Analyst,Avant,"Chicago, IL",
Data Science Associate Consultant,ZS Associates,"Chicago, IL",
Research Data Analyst Senior,Northwestern University,"Chicago, IL",
Quantitative Researcher,DRW Trading Group,"Chicago, IL",
Senior Algorithms & Machine Learning Scientist,WALGREENS,"Deerfield, IL",
Technical Product Manager,Kin Insurance,"Chicago, IL",
Senior Data Analyst,Chicago Public Schools,"Chicago, IL",
"Senior Analyst, Consumer Insights & Learning",Green Thumb Industries,"Chicago, IL",
Data Science Manager,PwC,"Chicago, IL",
"Director, Risk Adjustment and Quality Analytics",Evolent Health,"Chicago, IL",
Data Science Sr. Developer,West Monroe,"Chicago, IL",
Lead Data Science Analyst - IHM,Discover,"Riverwoods, IL",
Postdoctoral Appointment - Computational Modeling and Machine Learning,Argonne National Laboratory,"Lemont, IL",
Senior Data Analyst- Advanced Analytics,Univar Solutions,"Downers Grove, IL",
Implementation Manager - Chicago,Dataiku,"Chicago, IL",
Senior Data Analyst,M. Holland Company,"Northbrook, IL",
Senior Data Analyst,KMR Group INC,"Chicago, IL",
"Senior Data Analyst - Financial Systems, Treasury",BAXTER,"Deerfield, IL",
SharePoint Developer/Analyst,Aetso Technical,"Chicago, IL",
Principal ML Engineer,Backstop Solutions Group LLC,"Chicago, IL",
"Senior Data Analyst - Financial Systems, Treasury",BAXTER,"Deerfield, IL",
Data Scientist/Senior Data Scientist for Medical Affairs,Tempus,"Chicago, IL",
Postdoctoral Research Associate –Automation and Data infrastructure,Argonne National Laboratory,"Lemont, IL",
UX Research Analyst,The Boston Consulting Group,"Chicago, IL",
Data Science Manager,PwC,"Chicago, IL",
Analytics Strategy - Advisor,CVS Health,"Northbrook, IL",
Full Stack Engineer – Big Data,Deloitte,"Chicago, IL",
Lead Data Science Analyst - IHM,Discover,"Riverwoods, IL",
"Senior Intern, Artificial Intelligence",WALGREENS,"Deerfield, IL",
Clinical Analyst,Blue Health Intelligence,"Chicago, IL",
"Director, Data Management Strategy",Discover Financial Services,"Riverwoods, IL",
Postdoc Appointee: Machine Learning & Software Engineering,Vail Systems,"Chicago, IL",
Customer Success Acct Mgr Management,Microsoft,"Chicago, IL",
"Manager, Optimization Data Modeler",KPMG,"Chicago, IL",
Data Science Manager,PwC,"Chicago, IL",
"Sr. Data Scientist, Audience & Personalization",Mars,"Chicago, IL",
Big Data Machine Learning Engineer,CEDENT,"Chicago, IL",
Senior Data Engineer,UNCOMN,"Chicago, IL",
Senior Research Data Analyst,The University of Chicago,"Chicago, IL",
Senior Data Scientist,CreditNinja,"Chicago, IL",
Data Engineer Manager,CreditNinja,"Chicago, IL",
Senior Principal Behavioral Insights,Discover Financial Services,"Riverwoods, IL",
Lead Data Science Analyst - IHM,Discover,"Riverwoods, IL",
"Head of Sales & Business Development - AI, Data Science, Commission, Equity",Xen.ai,"Chicago, IL",
Senior Data Scientist - Insights/Media,84.51°,"Chicago, IL",
SENIOR ANALYST,Intouch Solutions,"Chicago, IL",
INTERN - Insights & Analytics - Forecasting (VIRTUAL),US Foods,"Rosemont, IL",
Cyber Data Science Analytics Manager,Deloitte,"Chicago, IL",
Senior Data Scientist - Insights/Media,84.51°,"Chicago, IL",
SENIOR ANALYST,Intouch Solutions,"Chicago, IL",
Data Science Manager,PwC,"Chicago, IL",
INTERN - Insights & Analytics - Forecasting (VIRTUAL),US Foods,"Rosemont, IL",
Cyber Data Science Analytics Manager,Deloitte,"Chicago, IL",
Data Scientist,Astellas Pharmaceuticals,"Northbrook, IL",
Postdoctoral Appointee - Machine Learning for Accelerator Control,Argonne National Laboratory,"Lemont, IL",
Lead Data Science Analyst - IHM,Discover,"Riverwoods, IL",
"Senior Data Analyst - Data Sciences and Advanced Analytics - Opportunity for Working Remotely Chicago, IL",VMware,"Chicago, IL",
Senior Data Engineer,CreditNinja,"Chicago, IL",
Senior Data Engineer (Option for Remote),Custom Ink,"Chicago, IL",
Lead Data Scientist - Computer Vision,HERE Technologies,"Chicago, IL",
Sr. Data Scientist - Utility Analytics,Koch Engineered Solutions,"Chicago, IL",
Data Engineer - QuantumBlack,McKinsey & Company,"Chicago, IL",
Machine Learning Engineer,WiTronix,"Bolingbrook, IL",
"Advisor, Data Scientist",CVS Health,"Northbrook, IL",
Visiting Professor Business Analytics Course Development,DeVry University,"Chicago, IL",
Senior Engineer – Machine Learning Software,Qualcomm Canada ULC,"Markham, IL",
Lead Decision Scientist,Chowbus,"Chicago, IL",
R&D Engineer/Scientist II,Honeywell,"Des Plaines, IL",
Staff Data Engineer,M1 Holdings,"Chicago, IL",
Assistant Manager of Data Science,Harnham,"Chicago, IL","$150,000 a year"
Cloud DevOps 2021 Internship,Motorola Solutions,"Chicago, IL",
Demand Planning Analyst,Signode Industrial Group,"Glenview, IL",
Postdoc – Deep learning for nanoscale X-ray imaging of materials,Argonne National Laboratory,"Lemont, IL",
Senior Data Engineer,M1 Finance,"Chicago, IL",
Client Consultant,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL",
AWS BI Lead,Accenture,"Chicago, IL",
Sr. Data Analyst - Compliance,Wintrust Financial Corporation,"Rosemont, IL",
SR Actuarial Data Scientist,Allstate,"Northbrook, IL",
Data Science Manager,PwC,"Chicago, IL",
Research Engineer – Vehicle Data Analytics and Systems Modeling - TERM,Argonne National Laboratory,"Lemont, IL",
Product Manager – Analytics API Solutions,TransUnion,"Chicago, IL",
Senior Data Engineer,"DUFF AND PHELPS, LLC","Chicago, IL",
Postdoctoral Appointee –Machine Learning and Deep Learning,Argonne National Laboratory,"Lemont, IL",
High Tech Market Research Senior Manager,Accenture,"Chicago, IL",
Bridge to the Faculty Research Scholar and Digital Scholarship Librarian,University of Illinois at Chicago,"Chicago, IL",
Lead Data Science Analyst - IHM,Discover,"Riverwoods, IL",
"Advisor, Data Scientist",CVS Health,"Northbrook, IL",
Visiting Professor Business Analytics Course Development,DeVry University,"Chicago, IL",
Senior Engineer – Machine Learning Software,Qualcomm Canada ULC,"Markham, IL",
Lead Decision Scientist,Chowbus,"Chicago, IL",
R&D Engineer/Scientist II,Honeywell,"Des Plaines, IL",
Staff Data Engineer,M1 Holdings,"Chicago, IL",
Cloud DevOps 2021 Internship,Motorola Solutions,"Chicago, IL",
Data Science Manager,PwC,"Chicago, IL",
Senior Data Engineer,M1 Finance,"Chicago, IL",
Client Consultant,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL",
AWS BI Lead,Accenture,"Chicago, IL",
